raw data file is:./data-1D/gryneus_1_grid_0088.chi
number of data points: 	759
0.0018615860000000001	925772.31	92577.23100000001
0.0019622123	848739.44	84873.944
0.0020628385	752569.19	75256.919
0.0021634649	659747.44	65974.74399999999
0.0022640912	570338.5	57033.850000000006
0.0023647174000000003	508979.63	50897.963
0.0024653437000000003	539971.06	53997.10600000001
0.0025659699000000003	680544.13	68054.413
0.0026665961	758481.94	75848.194
0.0027672226000000004	616179.19	61617.918999999994
0.0028678488	390011.72	39001.172
0.002968475	235493.95	23549.395000000004
0.0030691013	155593.86	15559.385999999999
0.0031697277000000005	113594.9	11359.49
0.0032703537	89601.016	8960.1016
0.0033709802	73131.172	7313.117200000001
0.0034716062	60737.668	6073.7668
0.0035722326	51484.098	5148.4098
0.0036728591	44107.66	4410.7660000000005
0.0037734851	38588.703	3858.8703000000005
0.0038741115	33728.16	3372.8160000000007
0.0039747376	30176.529	3017.6529
0.004075364000000001	27361.182	2736.1182000000003
0.0041759904	25148.504	2514.8504000000003
0.0042766165	24454.639	2445.4639
0.004377242900000001	25968.563	2596.8563
0.004477869000000001	31364.695	3136.4695
0.0045784954	37555.73	3755.5730000000003
0.004679121800000001	37045.578	3704.5578000000005
0.0047797479	30051.396	3005.1396000000004
0.0048803743	22340.773	2234.0773000000004
0.0049810003	17593.309	1759.3309000000002
0.0050816268	15311.146	1531.1146
0.0051822532000000004	14714.427	1471.4427
0.0052828792	14668.238	1466.8238000000001
0.0053835057	13708.735	1370.8735000000001
0.0054841317	11996.425	1199.6425
0.0055847581	10213.871	1021.3870999999999
0.0056853846	8939.5	893.95
0.0057860106000000005	8103.417	810.3417000000001
0.005886637	7484.6792	748.46792
0.005987263100000001	7007.5825	700.7582500000001
0.006087889500000001	6481.2617	648.12617
0.0061885159	6023.7339	602.3733900000001
0.0062891424	5616.3394	561.63394
0.0063897684	5277.5327	527.75327
0.006490394500000001	5025.4663	502.54663000000005
0.0065910205	4751.0537	475.10537000000005
0.006691647300000001	4515.2896	451.52896000000004
0.0067922734	4291.2432	429.12432
0.006892899399999999	4138.9512	413.8951200000001
